Former,Current,Type
Abronia umbellata subsp. umbellata,Abronia umbellata var. umbellata
Acacia armata,Acacia paradoxa
Acacia decurrens var. dealbata,Acacia dealbata
Acaena pinnatifida var. californica,Acaena californica,INAT
Acanthogonum polygonoides var. polygonoides,Chorizanthe polygonoides var. polygonoides
Acanthogonum polygonoides,Chorizanthe polygonoides var. polygonoides
Acer negundo var. arizonicum,Acer negundo
Acer negundo var. californicum,Acer negundo
Acer negundo var. interius,Acer negundo
Achillea borealis subsp. arenicola,Achillea millefolium
Achillea borealis subsp. californica,Achillea millefolium
Achillea lanulosa subsp. alpicola,Achillea millefolium
Achillea lanulosa var. lanulosa,Achillea millefolium
Achillea millefolium subsp. lanulosa,Achillea millefolium
Achillea millefolium var. alpicola,Achillea millefolium
Achillea millefolium var. arenicola,Achillea millefolium
Achillea millefolium var. borealis,Achillea millefolium
Achillea millefolium var. californica,Achillea millefolium
Achillea millefolium var. gigantea,Achillea millefolium
Achillea millefolium var. littoralis,Achillea millefolium
Achillea millefolium var. pacifica,Achillea millefolium
Achillea millefolium var. puberula,Achillea millefolium
Achnatherum lemmonii subsp. lemmonii,Stipa lemmonii var. lemmonii
Acmispon strigosus var. hirtellus,Acmispon strigosus
Acroptilon repens,Rhaponticum repens
Actaea rubra subsp. arguta,Actaea rubra
Adelinia grande,Adelinia grandis,INAT
Adiantum boreale,Adiantum aleuticum
Adiantum pedatum subsp. calderi,Adiantum aleuticum
Adiantum pedatum var. aleuticum,Adiantum aleuticum
Adiantum pedatum var. subpumilum,Adiantum aleuticum
Aegochloa cotulifolia,Navarretia cotulifolia
Agoseris cinerea,Agoseris grandiflora var. grandiflora
Agoseris intermedia,Agoseris grandiflora var. grandiflora
Agoseris marshallii,Agoseris grandiflora var. grandiflora
Agoseris obtusifolia,Agoseris grandiflora var. grandiflora
Agoseris plebeia,Agoseris grandiflora var. grandiflora
Agropyron intermedium,Elymus hispidus
Agropyron parishii,Elymus stebbinsii
Agropyron trachycaulum,Elymus trachycaulus subsp. trachycaulus
Agropyron trichophorum,Elymus hispidus
Agrostis alba var. palustris,Agrostis stolonifera
Agrostis ampla,Agrostis exarata
Agrostis aristiglumis,Agrostis microphylla
Agrostis diegoensis,Agrostis pallens
Agrostis exarata var. monolepis,Agrostis exarata
Agrostis filiformis,Agrostis avenacea
Agrostis lepida,Agrostis pallens
Agrostis longiligula var. australis,Agrostis exarata
Agrostis microphylla var. intermedia,Agrostis microphylla
Agrostis semiverticillata,Polypogon viridis
Agrostis tenuis,Agrostis capillaris
Agrostis viridis,Polypogon viridis
Aira caryophyllea var. capillaris,Aira elegans
Aira elegantissima,Aira elegans
Aira pulchella,Aira elegans
Alchemilla arvensis,Aphanes occidentalis,INAT
Alchemilla occidentalis,Aphanes occidentalis
Allium acuminatum var. gracile,Allium amplectens
Allium attenuifolium var. monospermum,Allium amplectens
Allium attenuifolium,Allium amplectens
Allium bolanderi var. stenanthum,Allium bolanderi var. bolanderi
Allium breweri,Allium falcifolium
Allium falcifolium var. breweri,Allium falcifolium
Allium fimbriatum var. sharsmithiae,Allium sharsmithiae
Allium lacteum,Triteleia hyacinthina
Allium monospermum,Allium amplectens
Allium occidentale,Allium amplectens
Allium serratum,Allium amplectens
Allium stenanthum,Allium bolanderi var. bolanderi
Allium tilingii,Triteleia hyacinthina
Allophyllum violaceum,Allophyllum gilioides subsp. violaceum
Alnus oregona,Alnus rubra
Alopecurus californicus,Alopecurus saccatus
Alopecurus howellii,Alopecurus saccatus
Amaranthus bouchonii,Amaranthus powellii
Amaranthus powellii subsp. bouchonii,Amaranthus powellii
Ambrosia chamissonis var. bipinnatisecta,Ambrosia chamissonis
Ambrosia psilostachya var. californica,Ambrosia psilostachya
Amerosedum radiatum,Sedum radiatum
Ammannia coccinea subsp. purpurea,Ammannia coccinea
Amsinckia gloriosa,Amsinckia tessellata var. gloriosa
Amsinckia intermedia var. eastwoodiae,Amsinckia eastwoodiae
Amsinckia intermedia var. echinata,Amsinckia intermedia
Amsinckia menziesii var. intermedia,Amsinckia intermedia,INAT
Amsinckia menziesii var. menziesii,Amsinckia menziesii
Amsinckia micrantha,Amsinckia menziesii
Amsinckia straminea,Amsinckia lycopsoides
Amsinckia tessellata var. elegans,Amsinckia tessellata var. tessellata
Amsinckia vernicosa var. vernicosa,Amsinckia vernicosa
Anacharis canadensis,Elodea canadensis
Anacharis nuttallii,Elodea nuttallii
Anagallis arvensis subsp. arvensis,Lysimachia arvensis
