taxon,common name,status,jepson id,calrecnum,inat id,RPI ID,CRPR,CESA
Abronia latifolia,yellow sand verbena,N,11552,13,52618
Abronia umbellata var. umbellata,beach sand verbena,N,75287,10748,53800
Abutilon theophrasti,velvet-leaf,X,11605,26,60214
Acacia baileyana,Cootamundra wattle,X,11625,27,55345
Acacia cyclops,,X,11632,28,75249
Acacia dealbata,silver wattle,X,11633,29,53343
Acacia longifolia,golden wattle,X,11642,34,63379
Acacia melanoxylon,blackwood acacia,X,11646,36,53344
Acacia paradoxa,kangaroothorn,X,11654,37,75251
Acacia redolens,,X,11661,8999,75254
Acacia retinodes,everblooming acacia,X,11662,39,57040
Acacia verticillata,star acacia,X,11680,40,57037
Acaena californica,California sheepburr,N,11685,14543,61224
Acanthomintha lanceolata,Santa Clara thornmint,N,11726,50,61794,71,4.2
Acer campestre,hedge maple,X,11732,8451,56193
Acer macrophyllum,big-leaf maple,N,11746,59,48227
Acer negundo,box elder,N,11747,9644,47726
Achillea millefolium,yarrow,N,678,61,52821
Achyrachaena mollis,blow-wives,N,703,85,56852
Acmispon americanus var. americanus,Spanish-clover,N,91832,11269,57053
Acmispon brachycarpus,woolly trefoil,N,91705,11276,57047
Acmispon denticulatus,meadow trefoil,N,91708,11279,60194
Acmispon glaber var. glaber,California broom,N,91825,11282,58900
Acmispon junceus var. biolettii,,N,91830,11290,80314
Acmispon parviflorus,least trefoil,N,91717,11299,57048
Acmispon strigosus,,N,91722,11305,58152
Acmispon wrangelianus,common trefoil,N,82483,11306,57050
Actaea rubra,baneberry,N,11894,93,49870
Adelinia grandis,hound's tongue,N,101954,14544,769151
Adenocaulon bicolor,American trailplant,N,721,94,56854
Adenostoma fasciculatum,chamise,N,11939,97,47146
Adiantum aleuticum,five-finger fern,N,11945,100,52667
Adiantum jordanii,California maidenhair,N,11955,102,56032
Aegilops triuncialis,barbed goatgrass,X,11997,107,60272
Aesculus californica,California buckeye,N,12026,111,53348
Ageratina adenophora,,X,735,117,64114
Agoseris apargioides var. apargioides,,N,6310,122,58797
Agoseris grandiflora var. grandiflora,,N,79217,10490,80331
Agoseris heterophylla,,N,794,132,56856
Agoseris retrorsa,,N,797,133,57908
Agrostis avenacea,blown grass,X,12268,138,288066
Agrostis capillaris,colonial bent,X,12276,140,75312
Agrostis exarata,spike redtop,N,12284,143,59088
Agrostis hallii,,N,12290,146,57155
Agrostis microphylla,,N,12307,151,60277
Agrostis pallens,seashore bentgrass,N,12310,153,52692
Agrostis stolonifera,creeping bentgrass,X,12321,156,69931
Ailanthus altissima,tree of heaven,X,12354,161,57278
Aira caryophyllea,silver hairgrass,X,12357,162,52694
Aira elegans,,X,12358,11316,75321
Alisma lanceolatum,water plantain,X,12461,169,71065
Alisma triviale,water plantain,N,12464,9659,61167
Allenrolfea occidentalis,iodine bush,N,12469,171,58109
Allium acuminatum,taper tipped onion,N,12504,174,59782
Allium amplectens,,N,12506,175,60267
Allium bolanderi var. bolanderi,Bolander's onion,N,53763,182,80339
Allium crispum,crinkled onion,N,12555,187,58351
Allium falcifolium,sickle-leaved onion,N,12566,191,47356
Allium neapolitanum,white garlic,X,12605,214,61475
Allium paniculatum var. paniculatum,,X,76535,219,80349
Allium peninsulare var. peninsulare,Mexicali onion,N,53816,225,80351
Allium serra,jeweled onion,N,12640,232,59784
Allium sharsmithiae,Sharsmith's onion,N,76536,233,75364,83,1B.3
Allium triquetrum,three-cornered leek,X,12655,238,55505
Allium unifolium,one leaf onion,N,12657,240,59781
Allophyllum divaricatum,purple false gilia,N,12696,244,56738
Allophyllum gilioides subsp. gilioides,dense false gilia,N,49079,246,58962
Allophyllum gilioides subsp. violaceum,,N,49080,247,58963
Alnus rhombifolia,white alder,N,12722,252,53351
Alnus rubra,red alder,N,12723,253,56034
Alopecurus myosuroides,slender meadow foxtail,X,12751,261,75383
Alopecurus saccatus,Pacific foxtail,N,12755,263,58364
Amaranthus albus,pigweed,X,12892,271,57893
Amaranthus blitoides,tumbleweed amaranth,N,12900,273,58774
Amaranthus californicus,California amaranth,N,12907,274,58775
Amaranthus deflexus,,X,12917,277,75393
Amaranthus hybridus,,X,12924,280,75395
Amaranthus palmeri,,N,12933,281,75397
Amaranthus powellii,,N,12936,282,75398
Amaranthus retroflexus,rough pigweed,X,12941,283,58776
Amaryllis belladonna,naked-lady,X,12964,8632,61827
Ambrosia chamissonis,beach-bur,N,812,292,71135
Ambrosia psilostachya,western ragweed,N,12969,298,60129
Amelanchier utahensis,service-berry,N,13008,304,61099
Ammannia coccinea,,N,13031,306,60210
Amsinckia eastwoodiae,,N,13127,322,75422
Amsinckia grandiflora,large-flowered fiddleneck,N,13130,323,75424,4,1B.1,CE
Amsinckia intermedia,fiddleneck,N,13131,11324,49141
Amsinckia lunaris,bent-flower fiddleneck,N,13139,324,75425,5,1B.2
Amsinckia lycopsoides,,N,13140,325,58048
Amsinckia menziesii,rancher's fireweed,N,13145,326,55436
Amsinckia tessellata var. gloriosa,,N,77019,333,80365
Amsinckia tessellata var. tessellata,devil's lettuce,N,77020,334,58852
Amsinckia vernicosa,,N,13155,335,58051
Anaphalis margaritacea,pearly everlasting,N,846,341,52833
Ancistrocarphus filagineus,woolly fishhook,N,849,345,50795
Androsace elongata subsp. acuta,,N,49111,348,58299,1799,4.2
Anemopsis californica,yerba mansa,N,13392,360,60241
Angelica californica,,N,13406,364,75448
Anisocarpus madioides,,N,77551,10770,53137
Anthemis cotula,"mayweed,dog-fennel",X,1067,392,52841
Anthriscus caucalis,bur-chervil,X,13523,396,52846
Antirrhinum kelloggii,,N,13568,401,165675
Antirrhinum majus,snapdragon,X,13557,404,48969
Antirrhinum thompsonii,Sierra snapdragon,N,108978,14286,168306
Antirrhinum vexillocalyculatum subsp. vexillocalyculatum,,N,88873,10499,840919
Aphanes occidentalis,,N,13608,420,866483
Aphyllon californicum subsp. jepsonii,,N,103325,13438,802459
Aphyllon fasciculatum,clustered broom-rape,N,100018,13441,802543
Aphyllon pinorum,pinewoods broom-rape,N,13618,13445,802557
Aphyllon purpureum,naked broom-rape,N,103312,13529,739040
Aphyllon tuberosum,bulbous broom-rape,N,13614,13446,809373
Aphyllon vallicolum,hemp broom-rape,N,103315,13450,938507
Apiastrum angustifolium,,N,13619,422,58777
Apium graveolens,celery,X,13622,423,58788
Apium nodiflorum,,X,13623,424,75489
Apocynum androsaemifolium,dogbane,N,13635,425,47359
Apocynum cannabinum,Indian-hemp,N,13639,426,58795
Aquilegia eximia,,N,13665,429,57230
Aquilegia formosa,,N,13668,430,48244
Arabidopsis thaliana,mouse-ear cress,X,13682,433,55021
