taxon_name,status
Abutilon theophrasti
Acacia baileyana
Acacia dealbata
Acacia longifolia
Acacia melanoxylon
Acacia paradoxa
Acacia redolens
Acacia retinodes
Acacia verticillata
Acaena californica
Acanthomintha lanceolata
Acer campestre
Acer macrophyllum
Acer negundo
Achillea millefolium
Achyrachaena mollis
Acmispon americanus var. americanus
Acmispon brachycarpus
Acmispon glaber var. glaber
Acmispon junceus var. junceus
Acmispon parviflorus
Acmispon strigosus
Acmispon wrangelianus
Actaea rubra
Adelinia grandis
Adenostoma fasciculatum
Adiantum aleuticum
Adiantum jordanii
Aegilops triuncialis
Aesculus californica
Ageratina adenophora
Agoseris grandiflora var. grandiflora
Agoseris heterophylla var. cryptopleura
Agoseris heterophylla var. heterophylla
Agoseris retrorsa
Agrostis avenacea
Agrostis capillaris
Agrostis exarata
Agrostis hallii
Agrostis pallens
Agrostis stolonifera
Ailanthus altissima
Aira caryophyllea
Aira elegans
Alisma lanceolatum
Alisma triviale
Allenrolfea occidentalis
Allium acuminatum
Allium amplectens
Allium bolanderi var. bolanderi
Allium crispum
Allium falcifolium
Allium neapolitanum
Allium paniculatum var. paniculatum
Allium serra
Allium sharsmithiae
Allium triquetrum
Allium unifolium
Allophyllum divaricatum
Allophyllum gilioides subsp. gilioides
Allophyllum gilioides subsp. violaceum
Alnus rhombifolia
Alnus rubra
Alopecurus myosuroides
Alopecurus saccatus
Amaranthus albus
Amaranthus blitoides
Amaranthus californicus
Amaranthus deflexus
Amaranthus hybridus
Amaranthus powellii
Amaranthus retroflexus
Amaryllis belladonna
Ambrosia chamissonis
Ambrosia psilostachya
Amelanchier utahensis
Ammannia coccinea
Amsinckia eastwoodiae
Amsinckia grandiflora
Amsinckia intermedia
Amsinckia lunaris
Amsinckia lycopsoides
Amsinckia menziesii
Amsinckia tessellata var. gloriosa
Amsinckia tessellata var. tessellata
Amsinckia vernicosa
Anaphalis margaritacea
Ancistrocarphus filagineus
Androsace elongata subsp. acuta
Anemopsis californica
Angelica californica
Anisocarpus madioides
Anthemis cotula
Anthriscus caucalis
Antirrhinum kelloggii
Antirrhinum majus
Antirrhinum thompsonii
Antirrhinum vexillocalyculatum subsp. vexillocalyculatum
Aphanes occidentalis
Aphyllon californicum subsp. jepsonii
Aphyllon epigalium subsp. epigalium
Aphyllon franciscanum
Aphyllon pinorum
Aphyllon purpureum
Aphyllon tuberosum
Aphyllon vallicola
Apiastrum angustifolium
Apium graveolens
Apium nodiflorum
Apocynum androsaemifolium
Apocynum cannabinum
Aquilegia eximia
Aquilegia formosa
Arabidopsis thaliana
Aralia californica
Arbutus menziesii
Arceuthobium campylopodum
Arctostaphylos auriculata
Arctostaphylos crustacea subsp. crustacea
Arctostaphylos crustacea subsp. rosei
Arctostaphylos glandulosa subsp. glandulosa
Arctostaphylos glauca
Arctostaphylos manzanita subsp. laevigata
Arctostaphylos manzanita subsp. manzanita
Arctostaphylos pallida
Argemone munita
Argyranthemum foeniculaceum
Aristolochia californica
Arnica discoidea
Artemisia biennis
Artemisia californica
